Drug,Generic,Brand(s),Form,US tablet/cap strengths (mg),Liquid concentration,Injectable concentration,Unit,Source,Notes,Spreadsheet sheets
Topiramate,topiramate,Topamax,tab; sprinkle cap,25 / 50 / 100 / 200,,,tab,SHEET,sheet uses 25/50/100,Seizures
Torsemide,torsemide,Demadex,tab,5 / 10 / 20 / 100,,,tab,HUMAN-GEN,,Heart
Tramadol,tramadol,Ultram,tab,50,,,tab,HUMAN-GEN,,
Trazodone,trazodone,Desyrel,tab,50 / 100 / 150 / 300,,,tab,SHEET,,Oral Sedation
Kenalog,triamcinolone,Vetalog / Kenalog,tab; injectable,0.5 / 1.5,,2 mg/ml; 6 mg/ml; Kenalog 10/40 mg/ml,tab,VET-LABEL,,SKIN
Trilostane,trilostane,Vetoryl,cap,5 / 10 / 20 / 30 / 60 / 120,,,cap,VET-LABEL,do not open capsules,Endocrine Testing
Temaril-P,trimeprazine/prednisolone,Temaril-P,tab,5,,,tab,VET-LABEL,5 mg trimeprazine + 2 mg prednisolone per tab,Cough
Tylosin,tylosin tartrate,Tylan Soluble,powder,,,,tsp,VET-LABEL,"100 g jar; ~2.6 g per level teaspoon, so 1/8 tsp = ~325 mg (matches sheet)",Diarrhea
Ursodiol,ursodiol,Actigall/Urso,cap; tab; suspension,250 / 300 / 500,250 mg/5 ml (50 mg/ml),,cap,HUMAN-GEN,300 mg caps; 250 & 500 mg tabs,Cholangiohep; Liver Drugs
Vincristine,vincristine,Oncovin,injectable,,,1 mg/ml,ml,SHEET,,ITP
Vitamin A,vitamin A,,cap (OTC),8000 / 10000 / 25000,,,cap,OTC,IU,Sebaceous Adenitis
Vitamin C,vitamin C,,tab (OTC),250 / 500 / 1000,,,tab,OTC,,NSAIDs-tyl-grapes-raisins
Vitamin E,vitamin E,,cap (OTC),100 / 200 / 400,,,cap,OTC,IU,Hepatic Lipidosis; Skin AutoImmune; ToeNails
Zinc,zinc,,tab (OTC),,,,tab,OTC,elemental zinc varies by salt,Hepatic Lipidosis
Zonisamide,zonisamide,Zonegran,cap,25 / 50 / 100,,,cap,SHEET,,Seizures
